entrez_id	log2FC	fold_change_cancer_over_normal	average_expression	standard_error	ci95_low	ci95_high	moderated_t	p_value	bh_fdr	treat_t	treat_p_value	treat_bh_fdr	symbol_at_run	gene_name_at_run	representative_probe_id	specificity_tier	suffix_class	representative_pooled_median	eligible_probe_count_for_gene	annotation_package	annotation_package_version	human_gene_package_version	s1_log2FC	s1_standard_error	s1_bh_fdr	s1_treat_bh_fdr	s2_log2FC	s2_standard_error	s2_bh_fdr	s2_treat_bh_fdr	s4_no_trend_log2FC	s4_no_trend_standard_error	s4_no_trend_bh_fdr	s4_no_trend_treat_bh_fdr	s4_group_aware_log2FC	s4_group_aware_standard_error	s4_group_aware_bh_fdr	s4_group_aware_treat_bh_fdr	median_collapse_log2FC	median_collapse_standard_error	median_collapse_bh_fdr	median_collapse_treat_bh_fdr	qc_candidate_exclusion_log2FC	qc_candidate_exclusion_standard_error	qc_candidate_exclusion_bh_fdr	qc_candidate_exclusion_treat_bh_fdr	s3_status	s3_log2FC	s3_standard_error	s3_bh_fdr	s3_treat_bh_fdr	constituent_probe_count_modelled	constituent_same_direction_count	constituent_same_direction_fraction	any_opposite_direction_probe	any_material_opposite_treat_probe	material_opposite_probe_ids	statistically_discovered	priority_effect	representative_median_direction_concordant	core_sensitivity_direction_concordant	headline_eligible	contrast	result_annotation_status	leave_one_run_all_same_direction	leave_one_run_min_abs_log2FC
33	-3.30952139352068	0.100863675346045	2.98860108827273	0.245855582579985	-3.7967574628042	-2.82228532423716	-13.4612415906561	5.48534731198501e-25	1.11665215230079e-21	-12.3913679555995	6.81966498397019e-23	1.06790707752832e-19	ACADL	acyl-CoA dehydrogenase long chain	206068_s_at	3	s_at	2.320317022	2	hgu133plus2.db	3.13.0	3.22.0	-3.61965097822681	0.197547893949414	1.1919663717374e-33	4.84779881358722e-31	-3.30952139352068	0.30866250687882	4.22830662816532e-12	5.89723034310897e-11	-3.30952139352068	0.246889995241957	2.09238015878309e-21	1.92954289142807e-19	-3.3295774616186	0.287399045987494	5.12022308032847e-18	3.04252924458505e-16	-3.27716772563053	0.232691516866505	5.63273985456427e-23	1.26368725005811e-20	-4.01253829916355	0.200822181998986	5.97183575978537e-34	8.01530537484523e-32	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	2	2	1	FALSE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	3.00151240654784
443	-4.10324857875612	0.0581834002789867	3.17096029665289	0.309717787935365	-4.7170466304303	-3.48945052708195	-13.2483465225201	1.63070898391398e-24	2.55356482965669e-21	-12.399075295358	6.5527228355068e-23	1.06790707752832e-19	ASPA	aspartoacylase	206030_at	1	at	2.312811642	2	hgu133plus2.db	3.13.0	3.22.0	-4.680777807681	0.251261076802352	3.40991147283314e-34	3.59877542159939e-32	-4.10324857875612	0.404576555117396	1.89931776390285e-11	1.16885016744071e-10	-4.10324857875612	0.3114061320524	5.11466603693144e-21	1.92954289142807e-19	-4.13850060839212	0.361669761407111	9.80347803554089e-18	2.52606245782524e-16	-2.57346383184378	0.187710037355547	2.62993937766603e-22	1.52942439573505e-19	-4.95081368531368	0.260946944763226	2.8912592747604e-32	1.19238146242549e-30	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	2	2	1	FALSE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	3.67277399506757
130399	-4.35142482925818	0.0489881007686279	4.46505912516529	0.329412834644185	-5.00425448250129	-3.69859517601506	-13.2096396121249	1.98886112383513e-24	2.89194613556512e-21	-12.4111449022332	6.15485081911771e-23	1.06790707752832e-19	ACVR1C	activin A receptor type 1C	1563182_at	1	at	3.409151485	2	hgu133plus2.db	3.13.0	3.22.0	-4.83035759268722	0.26047167345549	4.7128071674458e-34	4.10452604604394e-32	-4.35142482925817	0.396950160071144	2.6812543733222e-12	2.29004047188944e-11	-4.35142482925818	0.330601307684095	5.11466603693144e-21	1.90761172246056e-19	-4.35239516721648	0.344132682248604	4.02033542806914e-20	1.35398689726087e-18	-4.7934888200707	0.340666824856537	5.63273985456427e-23	2.69805063196657e-21	-4.81841007738127	0.339098064468247	1.34269257538094e-23	3.41244915289627e-22	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	2	2	1	FALSE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	4.1878890172627
56246	-2.42971886394671	0.18560161074254	2.73662678339669	0.17760686357038	-2.78169976743363	-2.07773796045979	-13.6803207663419	1.79589824293753e-25	4.67242992566094e-22	-12.1993284187147	1.85372127791427e-22	2.69544314675006e-19	MRAP	melanocortin 2 receptor accessory protein	1555741_at	1	at	2.312811642	3	hgu133plus2.db	3.13.0	3.22.0	-2.80764902636369	0.152174384884559	6.89190020548804e-34	1.54881155410494e-30	-2.42971886394671	0.238820314061648	1.77112257810181e-11	3.65490599162859e-10	-2.42971886394671	0.178053108697899	8.85156353281655e-22	4.15472602346003e-19	-2.42574385505626	0.192778249588098	5.31756618396583e-20	2.7750202766621e-17	-2.50778857693272	0.197983076488283	2.66719175339512e-20	1.277214982984e-17	-2.80785159011131	0.166263047266556	1.14715189638996e-28	8.81985575393069e-26	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	3	3	1	FALSE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	2.06225076594628
220296	-4.16913139086742	0.0555861244588397	3.36938450319835	0.331153872284252	-4.82541142879295	-3.51285135294189	-12.5897105237192	4.86968608355462e-23	5.21748418962744e-20	-11.7954138904973	1.53159691784077e-21	2.07858123043231e-18	HEPACAM	hepatic and glial cell adhesion molecule	238003_at	1	at	2.470945352	1	hgu133plus2.db	3.13.0	3.22.0	-4.63872265112726	0.260552231130684	1.34798360292167e-32	1.14416103969777e-30	-4.16913139086742	0.433167086457431	6.57106322902043e-11	4.34948916088375e-10	-4.16913139086742	0.332963359611968	9.3430292050557e-20	3.72160331940057e-18	-4.19465728849678	0.372410022186757	2.05611762335512e-17	5.24875129772544e-16	-4.16913139086742	0.330853660507906	3.60167193411834e-20	1.47678594122869e-18	-5.03022227894522	0.290074777467933	2.12409444369752e-29	8.24410008763124e-28	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	1	1	1	FALSE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	3.85207865569165
27129	-3.18838526039167	0.10969842668528	2.89090405673554	0.248432699497925	-3.6807286544876	-2.69604186629574	-12.8339999800159	1.37555840036384e-23	1.75014014726292e-20	-11.7752246804464	1.70210671737812e-21	2.16561165285414e-18	HSPB7	heat shock protein family B (small) member 7	218934_s_at	3	s_at	2.312811642	2	hgu133plus2.db	3.13.0	3.22.0	-3.60560148502489	0.201238424992527	8.19087318871603e-33	2.43379622518788e-30	-3.18838526039167	0.34125704404596	1.39503922244834e-10	1.35931004125805e-09	-3.18838526039167	0.249610707441804	3.24778267322973e-20	3.72160331940057e-18	-3.31104719739439	0.258406340900674	2.04407264368724e-20	1.92246998443463e-18	-1.72808390438909	0.119814975410684	1.72813617625422e-23	2.1756019893479e-19	-3.8456128583535	0.215662616291829	3.2300394901663e-30	4.07869156181553e-28	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	2	2	1	FALSE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	2.8103976724997
5105	-5.41819052256417	0.0233863330613881	3.85453379213223	0.441585137032671	-6.29332300547952	-4.54305803964881	-12.2698661439851	2.56697684885354e-22	2.09023790848446e-19	-11.6742065898585	2.89681647038648e-21	3.46885252280339e-18	PCK1	phosphoenolpyruvate carboxykinase 1	208383_s_at	3	s_at	2.593412085	1	hgu133plus2.db	3.13.0	3.22.0	-6.17612779389763	0.351397380221584	3.51938099314222e-32	1.03468414926482e-30	-5.41819052256417	0.573593616048375	1.03913720314954e-10	4.61399669273395e-10	-5.41819052256417	0.444426238098196	4.13920551308526e-19	5.86231407784562e-18	-5.52820750741095	0.477346336136974	5.12022308032847e-18	6.40975924818348e-17	-5.41819052256417	0.441287305493568	1.43305030057979e-19	2.69950372850788e-18	-6.37672772029031	0.417484231016802	1.24660582997694e-25	1.58061431023023e-24	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	1	1	1	FALSE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	5.11915163800867
10249	-2.95213697519873	0.129216573113772	2.88718729219835	0.230608904888596	-3.40915721114615	-2.4951167392513	-12.8014873346928	1.62713844941068e-23	1.94845043615607e-20	-11.6608791436914	3.10040416826067e-21	3.5063848696268e-18	GLYAT	glycine-N-acyltransferase	231683_at	1	at	2.360328772	3	hgu133plus2.db	3.13.0	3.22.0	-3.13536867306279	0.179880696462504	5.88296836168017e-32	5.18044550220032e-29	-2.95213697519873	0.314836202125101	1.27359367629988e-10	1.44891158685808e-09	-2.95213697519873	0.231558049956769	3.46353466093493e-20	5.75558997286518e-18	-2.94996019959336	0.231510322997948	2.76801260924695e-20	4.15440870449062e-18	-4.08037303717121	0.279660416935555	1.24694464609606e-23	1.06990021773117e-21	-3.44789551466487	0.217952550663948	1.14150329754057e-26	1.71747168152598e-24	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	3	3	1	FALSE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	2.73630611353416
10840	-3.06109539795849	0.119817006670953	3.38799598633058	0.240201840090802	-3.53712689243325	-2.58506390348374	-12.7438465783665	2.19200994738973e-23	2.47904147216738e-20	-11.6487908296913	3.30347631039407e-21	3.5394140658259e-18	ALDH1L1	aldehyde dehydrogenase 1 family member L1	205208_at	1	at	2.831462079	2	hgu133plus2.db	3.13.0	3.22.0	-3.34675054348077	0.191628569484238	5.29473469478781e-32	2.84827802414059e-29	-3.0610953979585	0.320505817851751	8.0900755256598e-11	8.84458076703477e-10	-3.06109539795849	0.240782321800357	3.93094776169062e-20	5.75558997286518e-18	-2.95173206876613	0.248810387582452	1.48571914570225e-18	1.6551683282069e-16	-1.66003122064623	0.112710431824985	9.315640833827e-24	1.04492054648036e-19	-3.617661854815	0.220844399979402	1.11739327617522e-27	1.4502321760057e-25	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	2	2	1	FALSE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	2.81038789011421
80704	-4.61893992751376	0.0406968254668984	3.55853390478512	0.374901933131869	-5.36191977913677	-3.87596007589076	-12.320395066859	1.97311237307346e-22	1.67361035744402e-19	-11.6187865058242	3.86952359792802e-21	3.93859459415104e-18	SLC19A3	solute carrier family 19 member 3	239345_at	1	at	2.645936103	2	hgu133plus2.db	3.13.0	3.22.0	-5.19967506404016	0.297069079767743	4.57635048090068e-32	2.43379622518788e-30	-4.61893992751376	0.509627750807665	3.13004195171055e-10	1.44891158685808e-09	-4.61893992751376	0.377119958818973	3.22117047114225e-19	7.18017331110327e-18	-4.57134416631454	0.396698257582458	6.74976994710024e-18	1.33091534753385e-16	-4.32120981119804	0.338551084200426	1.75368288084444e-20	6.74592798078009e-19	-5.59810491540041	0.327591077928391	6.11902329530863e-29	1.23324462236006e-27	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	2	2	1	FALSE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	4.31282595003931
