entrez_id	tissue_group	group_mean	group_variance	log2_variance	mean_bin
1	normal	3.90162992582353	0.0526305731633003	-4.24795508346108	16
10	normal	2.61502181788235	0.493651198078391	-1.01843606631702	11
100	normal	6.66428296652941	0.800212251522803	-0.321545377881074	24
1000	normal	2.42202346370588	0.0136079870563705	-6.19940251592114	8
10000	normal	5.91807441035294	0.240604826678676	-2.05526251074601	22
100009676	normal	2.34836711464706	0.00457322451637727	-7.77257253658368	4
10001	normal	4.15384268394118	0.709813003820323	-0.494489089979568	17
10002	normal	2.596983081	0.138460299740433	-2.85245571845406	11
10003	normal	2.35796231264706	0.0162451116467374	-5.94385053095554	5
100033431	normal	2.54287663164706	0.243957004131482	-2.03530119050969	10
100038246	normal	2.35412676770588	0.0114966367764012	-6.44264431257509	5
10004	normal	4.61118220864706	0.224163708227777	-2.15737536802824	18
100048912	normal	2.44068547388235	0.2468488116127	-2.0183003952594	8
100049716	normal	5.95744742723529	1.18909532517333	0.249864375001365	22
10005	normal	5.84875749441177	0.733711900704918	-0.446714409225008	21
10006	normal	2.47415678488235	0.141127768509897	-2.82492621219681	9
10007	normal	7.22144672023529	0.792352128012929	-0.335786376149947	25
10008	normal	6.08351311976471	1.85548270831805	0.891794556281985	22
10009	normal	7.91571886011765	0.187676053318201	-2.41368351484675	27
100093630	normal	8.32256974805882	0.583404701255134	-0.777431082922544	28
1001	normal	4.34114771470588	1.52734302133127	0.611024109022867	17
10010	normal	9.5484157817647	0.569433344562583	-0.812401118795999	29
100101266	normal	2.35257106529412	0.00913389236287489	-6.77455449609117	5
100101467	normal	5.47885986494118	0.239788555104452	-2.06016529304967	20
100101938	normal	2.40195261964706	0.0302648286712142	-5.04621400578061	7
10011	normal	7.41830949635294	0.65279772795233	-0.615292058836549	26
100113403	normal	5.14204844094118	0.143163500896783	-2.80426436616102	19
100113407	normal	7.42888059864706	4.1390868306333	2.04931251404539	26
100124700	normal	2.35316551935294	0.00282867707484556	-8.46565679831701	5
100125288	normal	2.95534900458824	0.173452166578922	-2.52739023354733	13
100126784	normal	2.34645525347059	0.000317965108532163	-11.6188439175285	4
100126791	normal	2.31620200464706	9.47754674625637e-05	-13.3651268071954	2
100126793	normal	3.62554117805882	0.610560757186281	-0.711793229273452	15
100127888	normal	2.34246162664706	0.0100225998518766	-6.64059939911671	4
100127938	normal	2.35970780617647	0.0373872536459302	-4.74130969068127	5
100127950	normal	2.37859581358824	0.0236031988538416	-5.40487379383868	6
100127955	normal	2.34227979917647	0.0144474265421569	-6.11304365521579	4
100127983	normal	2.69381062282353	0.10571465845643	-3.24175265935734	12
100128025	normal	2.312811642	0	-26.5754247590989	1
100128071	normal	2.42208104170588	0.000714038792574205	-10.4517099238747	8
