gsm_id	tissue_group	processing_run_proxy	sample_median	sample_iqr	sample_mad	q01	q99	dynamic_range	sample_median_robust_z	sample_iqr_robust_z	sample_mad_robust_z	q01_robust_z	q99_robust_z	dynamic_range_robust_z	median_pearson_correlation	correlation_connectivity	median_correlation_robust_z	connectivity_robust_z	robust_pca_distance	robust_pca_cutoff	pca_distance_method	distribution_flag	correlation_flag	pca_flag	raw_evidence_flag	independent_signal_count	candidate_exclusion_review
GSM1045191	normal	2004-12-15	2.790573259	3.283846141	0.7083293733642	2.312811642	11.5764523188	12.948445428	-0.0344643596729346	0.000523792851975234	-0.0344643596729344	0	0.661751922735817	-0.777706317488599	0.886717571650759	106.7310059119	-1.07802599796325	-0.519158909669039	89.3301771241054	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	TRUE	FALSE	1	FALSE
GSM1045192	normal	2004-12-14	3.110262433	2.6347446925	1.1823005427366	2.312811642	11.201415545	13.188304778	6.55632152799819	-4.30767837815919	6.55632152799818	0	-1.00006477631671	0.708800236823754	0.853647998520534	102.230128401383	-2.66932193630529	-2.28477155147493	54.6335512073029	20.5150056524329	MASS_cov.rob_mve	TRUE	FALSE	TRUE	FALSE	2	TRUE
GSM1045193	normal	2004-12-15	3.178931981	2.5926563475	1.2841100146014	2.312811642	11.1825619964	13.291100298	7.97202879830805	-4.58702623622096	7.97202879830804	0	-1.08360629567884	1.34586614329746	0.787279977125084	94.3895828281905	-5.86292720198226	-5.36047542262811	65.7276576978177	20.5150056524329	MASS_cov.rob_mve	TRUE	TRUE	TRUE	FALSE	3	TRUE
GSM1045194	normal	2004-12-14	3.105460617	2.6716803665	1.175181370335	2.312811642	11.0637620958	13.234185228	6.4573261796978	-4.06252971721831	6.45732617969779	0	-1.61001776371305	0.993140162033247	0.884850719065791	105.800024353557	-1.1678582714022	-0.884366095347442	11.5167962138578	20.5150056524329	MASS_cov.rob_mve	TRUE	FALSE	FALSE	FALSE	1	FALSE
GSM1045195	normal	2004-12-15	2.768904441	3.239039291	0.6762031837974	2.312811642	11.6386292992	13.023334608	-0.481193718975269	-0.296867268117389	-0.481193718975269	0	0.937262890042965	-0.313587420655605	0.868715239882835	105.06704732114	-1.94429171328332	-1.17189969553192	135.848363962597	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	TRUE	FALSE	1	FALSE
GSM1045196	normal	2005-01-26	2.765417903	3.3426366975	0.6710340425586	2.312811642	11.8601087482	13.183400038	-0.55307299208206	0.390727209796368	-0.55307299208206	0	1.91865530955404	0.678403555780473	0.850791368003795	103.11125334749	-2.80678196703293	-1.93912221082507	178.723427942515	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	TRUE	FALSE	1	FALSE
GSM1045197	normal	2005-01-25	2.780233034	3.1255704585	0.692998955779201	2.312811642	11.8104735334	13.059952638	-0.247640827779867	-1.04998016233181	-0.247640827779867	0	1.69871786720679	-0.0866505028285309	0.863401794553861	104.356332015574	-2.19997278716061	-1.45070042390122	145.430141452466	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	TRUE	FALSE	1	FALSE
GSM1045198	normal	2005-01-25	2.776030763	3.1276931395	0.6867686687946	2.312811642	11.710384785	13.056207318	-0.33427581781231	-1.0358915496601	-0.334275817812309	0	1.2552169491686	-0.109861783639545	0.865057623672928	104.464070570029	-2.12029488683256	-1.40843654239993	144.424182817347	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	TRUE	FALSE	1	FALSE
GSM1045199	normal	2005-01-25	2.753985517	3.239292503	0.654084387075	2.312811642	11.8441842364	13.064424368	-0.78876570375083	-0.2951866548779	-0.788765703750829	0	1.84809257682419	-0.0589373619644538	0.85197278399249	102.846855011652	-2.74993265552533	-2.0428408841585	169.038175260049	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	TRUE	FALSE	1	FALSE
GSM1045200	normal	2005-01-25	2.815898517	3.158187188	0.745876600875	2.312811642	11.63717424	13.119812408	0.487647011630589	-0.833497106920502	0.487647011630588	0	0.930815411167309	0.284324989453209	0.88710570462507	106.51653489994	-1.05934917915083	-0.603291999079568	63.034591033722	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	TRUE	FALSE	1	FALSE
GSM1045201	normal	2005-01-25	2.846819339	3.0854222405	0.7917198115722	2.312811642	11.2905916188	12.877078818	1.12511782342852	-1.31645105120371	1.12511782342852	0	-0.604918756113966	-1.21999440642093	0.898925986011682	107.793082308742	-0.490561499718006	-0.102525595732838	53.1322309863989	20.5150056524329	MASS_cov.rob_mve	FALSE	FALSE	TRUE	FALSE	1	FALSE
