gsm_id	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	pca_feature_set
GSM1045191	-87.6793466761472	-2.30095342211127	16.7103325224337	-2.58705681524706	11.935642140874	-3.67978170295822	2.71050197811439	11.3374734915273	-0.692159880731111	9.2296075391198	top5000_MAD
GSM1045192	-21.0469064098674	79.7162331384637	10.6492893052746	2.69464770113548	-39.6144004015144	-15.5385462381393	8.04123345289895	-27.390640627265	12.9758237484938	13.3541401903577	top5000_MAD
GSM1045193	21.4936193220293	112.090448114536	9.64609147309764	-12.966626942457	-63.1842768767688	54.4722312639781	-5.35688352493501	18.9855369181741	6.8686220570849	15.2125969023798	top5000_MAD
GSM1045194	7.7565199193808	46.1420566888422	43.9714273820384	-4.84903971548849	11.6751211833442	2.65649853723334	-3.23812900963172	8.58261325061564	13.8112189833385	30.6768245088683	top5000_MAD
GSM1045195	-106.408914095464	8.2959126644382	10.3371779522262	8.33854705732619	5.3034887163399	0.656068679484236	-0.0237839725827725	2.79655653288696	-2.46184742081486	-1.85048367889328	top5000_MAD
GSM1045196	-120.776956636687	2.2785728972565	4.43619390450694	21.5072383985551	-3.3720379321277	6.89764542732481	1.87430306755751	0.106575800960049	-10.9370548462168	-10.8778405261039	top5000_MAD
GSM1045197	-110.864414840076	2.72014343970532	1.41479734281755	13.3323733772646	6.27118012308363	3.74676978711297	8.23145791882381	1.92723203531157	-2.73343154259024	4.63177897187051	top5000_MAD
GSM1045198	-107.602123198271	7.31844590820272	2.81237651040945	13.9839021045445	-11.7375603146507	2.33519430937851	7.27715859297936	-2.63273463650074	-6.02471351756891	0.470363329444696	top5000_MAD
GSM1045199	-119.330401833533	-2.51600751494281	7.76245016471849	17.2936825196852	1.97249077374998	17.8141263676764	11.1245826479607	-5.03697159217035	-8.48144974692381	-4.69665743102911	top5000_MAD
GSM1045200	-62.2677167557151	-4.28776118288586	11.209931650933	19.0870756484912	12.3114920456443	-24.6380257874623	-5.45795734797499	19.4810851570036	-1.78743218177356	6.0782022081586	top5000_MAD
GSM1045201	-65.8708700512133	7.58125377406046	7.43254014454425	-8.8024536816314	20.9046364584558	-6.2497285346636	-2.61011875448125	9.04083775412941	13.9541698696802	11.7252562094152	top5000_MAD
GSM1045202	-108.773383494783	-9.81710263766756	-9.9852340358937	-1.30113645310948	4.97516486090891	5.33515450862449	2.08872573076014	-4.3915911774507	-1.22395080055622	1.29955492351898	top5000_MAD
GSM1045203	-87.9037604724419	35.636001893743	35.5674566145018	8.96260335431473	9.46017831994083	0.878694684282462	1.19250093464883	3.53818556799975	-7.64478901757417	-2.36572745133615	top5000_MAD
