resource	entrez_id
GO_BP	1031
GO_BP	10311
GO_BP	10312
GO_BP	10313
GO_BP	10314
GO_BP	10316
GO_BP	10317
GO_BP	10318
GO_BP	10319
GO_BP	1032
GO_BP	10320
GO_BP	10321
GO_BP	10322
GO_BP	10324
GO_BP	10325
GO_BP	10326
GO_BP	10327
GO_BP	10328
GO_BP	10329
GO_BP	1033
GO_BP	10330
GO_BP	10331
GO_BP	10332
GO_BP	10333
GO_BP	10335
GO_BP	10336
GO_BP	10342
GO_BP	10343
GO_BP	10344
GO_BP	10345
GO_BP	10346
GO_BP	10347
GO_BP	10350
GO_BP	10351
GO_BP	10352
GO_BP	1036
GO_BP	10360
GO_BP	10361
GO_BP	10362
GO_BP	10363
GO_BP	10365
GO_BP	10367
GO_BP	10368
GO_BP	10369
GO_BP	10370
GO_BP	10371
GO_BP	10376
GO_BP	10379
GO_BP	10380
GO_BP	10382
GO_BP	10384
GO_BP	10385
GO_BP	10388
GO_BP	10390
GO_BP	10391
GO_BP	103910
GO_BP	10392
GO_BP	10393
GO_BP	10394
GO_BP	10395
GO_BP	10396
GO_BP	10397
GO_BP	10398
GO_BP	10399
GO_BP	104
GO_BP	1040
GO_BP	10400
GO_BP	10401
GO_BP	10402
GO_BP	10403
GO_BP	10404
GO_BP	10406
GO_BP	10408
GO_BP	10409
GO_BP	1041
GO_BP	10411
GO_BP	10412
GO_BP	10413
GO_BP	10417
GO_BP	10418
GO_BP	10419
GO_BP	10420
GO_BP	10421
GO_BP	10422
GO_BP	10423
GO_BP	10424
GO_BP	10425
GO_BP	10426
GO_BP	10427
GO_BP	10428
GO_BP	1043
GO_BP	10430
GO_BP	10432
GO_BP	10434
GO_BP	10435
GO_BP	10436
GO_BP	10437
GO_BP	10438
GO_BP	10439
GO_BP	1044
GO_BP	10440
GO_BP	10443
GO_BP	10444
GO_BP	10445
GO_BP	10446
GO_BP	10447
GO_BP	10449
GO_BP	1045
GO_BP	10450
GO_BP	10451
GO_BP	10452
GO_BP	10454
GO_BP	10455
GO_BP	10456
GO_BP	10457
GO_BP	10458
GO_BP	10459
GO_BP	1046
GO_BP	10460
GO_BP	10461
GO_BP	10462
GO_BP	10463
GO_BP	10464
GO_BP	10465
GO_BP	10466
GO_BP	10467
GO_BP	10468
GO_BP	10469
GO_BP	1047
GO_BP	10471
GO_BP	10472
GO_BP	10473
GO_BP	10474
GO_BP	10475
GO_BP	10476
GO_BP	10477
GO_BP	10478
GO_BP	10479
GO_BP	1048
GO_BP	10480
GO_BP	10481
GO_BP	10482
GO_BP	10483
GO_BP	10484
GO_BP	10485
GO_BP	10486
GO_BP	10487
GO_BP	10488
GO_BP	10489
GO_BP	10490
GO_BP	10491
GO_BP	10492
GO_BP	10493
GO_BP	10494
GO_BP	10495
GO_BP	10497
GO_BP	10498
GO_BP	10499
GO_BP	105
GO_BP	1050
GO_BP	10501
GO_BP	10505
GO_BP	10507
GO_BP	10509
GO_BP	1051
GO_BP	10512
GO_BP	10513
GO_BP	10514
GO_BP	10516
GO_BP	10518
GO_BP	10519
GO_BP	1052
GO_BP	10520
GO_BP	10521
GO_BP	10522
GO_BP	10523
GO_BP	10525
GO_BP	10526
GO_BP	10527
GO_BP	10528
GO_BP	10529
GO_BP	1053
GO_BP	10531
GO_BP	10533
GO_BP	10534
GO_BP	10535
GO_BP	10536
GO_BP	105375355
GO_BP	105378952
GO_BP	10538
GO_BP	10539
GO_BP	1054
GO_BP	10540
GO_BP	10541
GO_BP	10542
GO_BP	10544
GO_BP	10548
GO_BP	10549
GO_BP	10550
GO_BP	10551
GO_BP	10552
GO_BP	10553
GO_BP	10554
GO_BP	10555
GO_BP	10556
GO_BP	10557
GO_BP	10558
GO_BP	10559
GO_BP	1056
GO_BP	10560
GO_BP	10561
GO_BP	10562
GO_BP	10563
GO_BP	10564
GO_BP	10565
GO_BP	10566
GO_BP	10568
GO_BP	10569
GO_BP	10570
GO_BP	10572
GO_BP	10573
GO_BP	10574
GO_BP	10575
GO_BP	10576
GO_BP	10577
GO_BP	10578
GO_BP	10579
GO_BP	1058
GO_BP	10580
GO_BP	10584
GO_BP	10585
GO_BP	10586
GO_BP	10587
GO_BP	10589
GO_BP	10591
GO_BP	10592
GO_BP	10594
GO_BP	10595
GO_BP	10598
GO_BP	10599
GO_BP	1060
GO_BP	10600
GO_BP	10602
GO_BP	10603
GO_BP	10605
GO_BP	10606
GO_BP	10607
GO_BP	10608
GO_BP	10609
GO_BP	10610
GO_BP	10611
GO_BP	10612
GO_BP	10613
GO_BP	10614
GO_BP	10615
GO_BP	10616
GO_BP	10617
GO_BP	1062
GO_BP	10620
GO_BP	10621
GO_BP	10622
GO_BP	10623
GO_BP	10625
GO_BP	10626
GO_BP	10627
GO_BP	10628
GO_BP	10629
GO_BP	1063
GO_BP	10630
GO_BP	10631
GO_BP	10632
GO_BP	10633
GO_BP	10634
GO_BP	10635
GO_BP	10636
GO_BP	10637
GO_BP	10640
GO_BP	10641
GO_BP	10642
GO_BP	10643
GO_BP	10644
GO_BP	10645
GO_BP	10650
GO_BP	10651
GO_BP	10652
GO_BP	10653
GO_BP	10654
GO_BP	10655
GO_BP	10656
GO_BP	10657
GO_BP	10658
GO_BP	10659
GO_BP	10660
GO_BP	10661
GO_BP	106614088
GO_BP	10663
GO_BP	10664
GO_BP	10666
GO_BP	10667
GO_BP	10668
GO_BP	10669
GO_BP	10670
GO_BP	10671
GO_BP	10672
GO_BP	10673
GO_BP	10675
GO_BP	10677
GO_BP	10678
GO_BP	1068
GO_BP	10681
GO_BP	10682
GO_BP	10683
GO_BP	10686
GO_BP	10687
GO_BP	1069
GO_BP	10690
GO_BP	10691
GO_BP	10692
GO_BP	10693
GO_BP	10694
GO_BP	10695
GO_BP	10699
GO_BP	107
GO_BP	1070
GO_BP	107075116
GO_BP	1071
GO_BP	10713
GO_BP	10714
GO_BP	10716
GO_BP	10717
GO_BP	10718
GO_BP	1072
GO_BP	10721
GO_BP	10723
GO_BP	10724
GO_BP	10725
GO_BP	10726
GO_BP	10728
GO_BP	1073
GO_BP	10730
GO_BP	10732
GO_BP	10733
GO_BP	10734
GO_BP	10735
GO_BP	10736
GO_BP	10741
GO_BP	10742
GO_BP	10743
GO_BP	10744
GO_BP	10746
GO_BP	10747
GO_BP	10749
GO_BP	1075
GO_BP	10752
GO_BP	10753
GO_BP	10755
GO_BP	10758
GO_BP	10761
GO_BP	10762
GO_BP	10763
GO_BP	10765
GO_BP	10766
GO_BP	10767
GO_BP	10768
GO_BP	10769
GO_BP	10771
GO_BP	10772
GO_BP	10773
GO_BP	10775
GO_BP	10776
GO_BP	10780
GO_BP	10781
GO_BP	10782
GO_BP	10783
GO_BP	10785
GO_BP	10787
GO_BP	10788
GO_BP	10791
GO_BP	10793
GO_BP	10794
GO_BP	10795
