gsm_id	GSM1045191	GSM1045192	GSM1045193	GSM1045194	GSM1045195	GSM1045196	GSM1045197	GSM1045198	GSM1045199	GSM1045200	GSM1045201	GSM1045202	GSM1045203	GSM1045204	GSM1045205	GSM1045206	GSM1045207	GSM1045208	GSM1045209	GSM1045210	GSM1045211	GSM1045212	GSM1045213	GSM1045214	GSM1045215	GSM1045216	GSM1045217	GSM1045218	GSM1045219	GSM1045220	GSM1045221	GSM1045222	GSM1045223	GSM1045224	GSM1045225	GSM1045226	GSM1045227	GSM1045228	GSM1045229	GSM1045230	GSM1045231	GSM1045232	GSM1045233	GSM1045234	GSM1045235	GSM1045236	GSM1045237	GSM1045238	GSM1045239	GSM1045240	GSM1045241	GSM1045242	GSM1045243	GSM1045244	GSM1045245	GSM1045246	GSM1045247	GSM1045248	GSM1045249	GSM1045250	GSM1045251	GSM1045252	GSM1045253	GSM1045254	GSM1045255	GSM1045256	GSM1045257	GSM1045258	GSM1045259	GSM1045260	GSM1045261	GSM1045262	GSM1045263	GSM1045264	GSM1045265	GSM1045266	GSM1045267	GSM1045268	GSM1045269	GSM1045270	GSM1045271	GSM1045272	GSM1045273	GSM1045274	GSM1045275	GSM1045276	GSM1045277	GSM1045278	GSM1045279	GSM1045280	GSM1045281	GSM1045282	GSM1045283	GSM1045284	GSM1045285	GSM1045286	GSM1045287	GSM1045288	GSM1045289	GSM1045290	GSM1045291	GSM1045292	GSM1045293	GSM1045294	GSM1045295	GSM1045296	GSM1045297	GSM1045298	GSM1045299	GSM1045300	GSM1045301	GSM1045302	GSM1045303	GSM1045304	GSM1045305	GSM1045306	GSM1045307	GSM1045308	GSM1045309	GSM1045310	GSM1045311
GSM1045191	1	0.861706777052285	0.761136045831265	0.886560363856489	0.980535360878597	0.967569816963257	0.972688036919685	0.966617605041764	0.961811675805557	0.956910301435038	0.965574905628069	0.969695607772458	0.968766828358878	0.967962138063971	0.971921246950407	0.958264466381659	0.963858714851111	0.886924082906069	0.880530009276884	0.88687477944503	0.867546049609775	0.844979661540089	0.909555844727165	0.846628935212895	0.907173348363752	0.888383740418413	0.774996742104425	0.854512400912655	0.8911005229887	0.898496673222188	0.830246346603797	0.903918970564904	0.955971636524002	0.832771602511431	0.862653268619202	0.914292095266475	0.851456696074724	0.889753740066158	0.907330028462687	0.896762128169783	0.865121281187451	0.876263276343755	0.899446794841831	0.88020706660686	0.889823482958883	0.926716718067826	0.897400500349355	0.876151976726332	0.919518896747566	0.912704935477688	0.895805019404615	0.861331974895225	0.897969262982516	0.871102908458151	0.901746543459315	0.901794536060232	0.859167401699229	0.826782345421231	0.888486313149485	0.834496535577033	0.905178747726795	0.902921397270524	0.86423585655336	0.867568980217065	0.867290111481771	0.905152336068683	0.847891665581549	0.90467313672997	0.890082702682019	0.885096608705943	0.864073912398665	0.866199347567046	0.877312389730616	0.847484775578401	0.916082713140233	0.846602407405793	0.911461927371127	0.894391407339254	0.903124752110906	0.851373402067761	0.883124929913301	0.874729168877181	0.876471324594276	0.828809531784037	0.874701904118942	0.873779931758663	0.882839595360644	0.927122951091722	0.935212135437901	0.933983511220399	0.868770313609267	0.844902548464257	0.902074345778312	0.868123159650165	0.883292227051404	0.896178330190785	0.883094997928253	0.821893111886069	0.922360744936459	0.907317486299621	0.880120882715483	0.902727153093665	0.858418657628979	0.865626812212772	0.938836271261105	0.863006339481186	0.864568573069267	0.873535196148677	0.880996622619228	0.856774423217161	0.880810209404696	0.768504500794056	0.900062257928927	0.90331966892423	0.847861156940968	0.884359189395858	0.927920188195261	0.89669032829001	0.88640891465867	0.884712575051743	0.912288197393002
GSM1045192	0.861706777052285	1	0.824719587134956	0.868802245197891	0.859139870581088	0.843764967039171	0.854720055072339	0.865023162786436	0.837784342250058	0.855698904481781	0.870381794856244	0.853746403566236	0.865452541684185	0.848038550472688	0.847648131012547	0.851346084332023	0.844342406304028	0.848139965413663	0.859521200662799	0.851906073764065	0.869197299055838	0.843924160372469	0.882099842710316	0.856423130157621	0.879546351827443	0.866716311492113	0.799982826959951	0.817922510954104	0.852806461326207	0.850292204040541	0.85721845459888	0.876959069640579	0.865713499718875	0.839636500530866	0.856886023020662	0.864743573533518	0.850332951591782	0.855407858567893	0.889271813474938	0.85068138625669	0.858027799581839	0.862650906746953	0.867216091557449	0.836853801045777	0.85589464164805	0.874927034679269	0.868288019475877	0.845474168324488	0.873702650972714	0.875252377315416	0.871311828821075	0.837477892185341	0.864523317579498	0.862430087439351	0.855532228836592	0.861320089538007	0.811523877731416	0.830870542033264	0.841481639803157	0.831617369478927	0.846368901402946	0.920263186173382	0.82847321405781	0.836078003321086	0.842791182343945	0.854724823539776	0.814835947609782	0.872747782465085	0.86091955577482	0.847409535604638	0.831209183375419	0.823225898273309	0.853480126873466	0.853549593474832	0.852648829880127	0.849361540340413	0.850642502766502	0.860645558889082	0.891583374371768	0.832974110856932	0.859452693738827	0.834528503260624	0.835829323987382	0.813553300107361	0.845877655979297	0.851047444492668	0.8557049234902	0.890488458875366	0.852839830687691	0.858813400942503	0.84378704778603	0.824724449848066	0.86829623134463	0.828009644184915	0.881195675027962	0.862000825345582	0.83119864511769	0.829316044806585	0.85417427343817	0.89020240653048	0.833017575673725	0.851217969584111	0.838932164317499	0.810239520205519	0.868035247964336	0.832410982978021	0.829894241784752	0.875785259142229	0.855183335902578	0.826524157067766	0.861789465448171	0.811264126908995	0.866103290224474	0.856464144482665	0.825784549143196	0.860471489850791	0.863778469516305	0.835196663778257	0.865165663020937	0.838925196335655	0.864949599375744
GSM1045193	0.761136045831265	0.824719587134956	1	0.807665185594954	0.753189209857385	0.736029912690653	0.746284856679896	0.756183024737854	0.735635642435871	0.745903550415636	0.774997991287774	0.749682026717177	0.76700512427498	0.743388649178308	0.740166684942883	0.739696615069333	0.733574067706696	0.797459237327234	0.768999437747567	0.796365728933249	0.796811543590826	0.769275211298685	0.807608212586458	0.880798012615782	0.798708531166228	0.821285477443209	0.740238406893113	0.763147193163103	0.810057820883887	0.804225556866302	0.799579457574615	0.825759311540744	0.773374025173976	0.766184312601645	0.804495682200967	0.792080110198428	0.78706592203929	0.778796570537681	0.812411064270756	0.802288230066746	0.802819186474575	0.816869787222879	0.795879589223152	0.768867298078613	0.799686643343133	0.777449073776472	0.82221326088387	0.790888612724339	0.802573486677889	0.806348119804062	0.834752470092783	0.777042974979565	0.798465684113998	0.805783791728395	0.785802549109127	0.782146927384859	0.763528381615276	0.755882587057968	0.782692505811766	0.783504920675718	0.772475918488321	0.78046602133111	0.760472060302462	0.773076165027784	0.805183748514317	0.794653746390396	0.763636201699863	0.809823543563722	0.797797688210836	0.770224314410956	0.785041734187955	0.75628409224821	0.787645351405417	0.789979699227743	0.772918754475192	0.87930037946552	0.787164153847464	0.789626685383161	0.827330385230924	0.767214177684886	0.802167601546758	0.759737341946646	0.780491290606307	0.790483779391353	0.798779470554199	0.780401285867953	0.795977613357413	0.808039159281388	0.778084054845004	0.790829478994208	0.809471841743363	0.77572510909757	0.809604720945148	0.777582289187788	0.843199023198351	0.791083768080703	0.769246719383456	0.787395800402703	0.800815742112827	0.800786481066965	0.776577171619565	0.787833577670019	0.781160155467328	0.770527981747522	0.792443528557889	0.789046514677432	0.78266546978531	0.814486765253412	0.788943626673946	0.775375548811978	0.796716925290112	0.755134270770199	0.819416637714017	0.785924747241805	0.759170265307946	0.821416031186369	0.792496831853767	0.774812596846024	0.797462238385476	0.766185797142733	0.776097671426743
GSM1045194	0.886560363856489	0.868802245197891	0.807665185594954	1	0.864101003834927	0.835020679834149	0.855408977091938	0.851907809645967	0.839406547749202	0.884312302266127	0.900455810344665	0.854205323563291	0.875483769833888	0.838929425705472	0.849783570610492	0.844516895196801	0.836374098901258	0.899586254277962	0.888418272071592	0.905797101539438	0.903169099536535	0.841643466370899	0.914323234104566	0.84039893524259	0.88592331196542	0.872596023827858	0.837095864543319	0.858639059222541	0.892467539929167	0.894724224465234	0.868200731789712	0.911707094520353	0.909789666316437	0.844157953323357	0.877999754844726	0.907748281253941	0.870168548716409	0.901456802994806	0.902546946564957	0.892303099763851	0.868419943030267	0.892567702483825	0.906432053422362	0.87328320582667	0.891480445978603	0.907175918392907	0.899197617635629	0.88336150635197	0.897453514348941	0.907840861729645	0.903597049893327	0.880544093845177	0.920927449562087	0.902332048800143	0.895371050169065	0.905839523692319	0.858730057470113	0.830555321304563	0.892967090216212	0.873920969581126	0.896075705905814	0.845338887808027	0.875041428292063	0.875645901643705	0.892813605125907	0.896164313996706	0.867702004403722	0.889222699071892	0.909773916691354	0.886870706932418	0.858839474154033	0.875031048186584	0.891980170076303	0.852891190282013	0.898369406552225	0.834865446484883	0.909119754111784	0.882595527151358	0.88969943127145	0.846396798333803	0.879392997531828	0.874300276594057	0.875051649839862	0.855038505921752	0.876441563194128	0.888211299769996	0.890318444447865	0.913845290306393	0.91559685728243	0.916592037205918	0.876144481237313	0.874600328050274	0.897688971225747	0.883209401869159	0.904635022468064	0.89363295417293	0.883440440242752	0.87581690120493	0.916139157160922	0.88398306934873	0.877848298868707	0.907042780989158	0.870594215790836	0.872582849515334	0.918123711674713	0.859855377760469	0.872459806935049	0.864411398122755	0.903920439934004	0.891206982402133	0.904093380718357	0.833884484400101	0.904571329298608	0.901340936002707	0.873556315225664	0.885389135865455	0.914484891728392	0.903735408476954	0.904113161777614	0.879025574561098	0.903474107809637
GSM1045195	0.980535360878597	0.859139870581088	0.753189209857385	0.864101003834927	1	0.978863411724965	0.979308234413348	0.973909127103188	0.974445839720708	0.942204899452552	0.957782440023065	0.975053432467337	0.970727475575925	0.977053417994444	0.977992082979669	0.971172203389077	0.977558829012984	0.867388918326731	0.865397105986751	0.867111144545105	0.84862193947228	0.839797447301027	0.893650239081506	0.841826023515331	0.896388904835252	0.879755329459509	0.754513703112535	0.842385830456252	0.873528660822051	0.879659200530039	0.816932154675705	0.882071520925245	0.939358011115373	0.821027073196913	0.849627488367288	0.894020925822266	0.840315022636011	0.868373789176876	0.890698100273559	0.878973409121526	0.849740562812386	0.858580802817944	0.88130706674137	0.863262992581801	0.87198495970914	0.911364132375629	0.880475252316715	0.860847242455693	0.906713899425857	0.896536076707308	0.880479699880951	0.841849367282394	0.873340632168378	0.848176737129439	0.873372289189251	0.881521233824284	0.842715971473095	0.821960310751442	0.869056690588794	0.816634903708259	0.886500526238865	0.908011829743543	0.846018581987043	0.851764469323946	0.843778502554222	0.883714149079853	0.831432652400983	0.890168080456478	0.869870063831302	0.866102718678977	0.854980829930464	0.849985226859227	0.857625679282118	0.838610615655954	0.8974902959768	0.842831143215699	0.890607729430038	0.880577314271974	0.891097536882099	0.844142841307974	0.867934773719872	0.859670164717845	0.86077496312035	0.80862473667905	0.860727297208467	0.85880575133701	0.866868686892218	0.914500377202737	0.917788497870004	0.915449206306902	0.851351898322758	0.828937367958739	0.885627216094802	0.849769700075768	0.870374055430324	0.877208431505095	0.869581000418146	0.803345018102201	0.901465496028499	0.891708715374078	0.86417930472101	0.880414413764565	0.843877388145387	0.849755229852239	0.918699801276024	0.852887453454405	0.845148226179735	0.863360611433397	0.859669554564264	0.83417308623409	0.859433965506946	0.746708108784107	0.883645063314572	0.885819080695652	0.832215600115245	0.866056723262241	0.910829329302425	0.874148112924545	0.867193214078502	0.871337879311694	0.897291427042224
GSM1045196	0.967569816963257	0.843764967039171	0.736029912690653	0.835020679834149	0.978863411724965	1	0.97894716930835	0.977769659377806	0.978516654816638	0.93935992252858	0.93961536723209	0.975966696239552	0.962198666095815	0.981774422162249	0.981967027270521	0.97522695105678	0.986139376461032	0.847907606062638	0.849315286906723	0.845559739141672	0.822655495733691	0.830883510879769	0.870480747488623	0.830413316185546	0.879198602399493	0.861973896739012	0.727222656065234	0.827450578078555	0.853500606301	0.859940266998997	0.794813367464955	0.860567193100684	0.923539476053183	0.809605556681365	0.828725557564626	0.874212187456126	0.828960333178861	0.85028656530524	0.870576627150815	0.865985284889665	0.834458438468301	0.841919734911239	0.859349139637823	0.846952772309039	0.856717185277757	0.889859219397428	0.858419984405331	0.84695295939062	0.888062943173119	0.87571437644457	0.860562400598427	0.822375039326888	0.847776974739528	0.826137689893271	0.853716719253666	0.862054928573989	0.831435780813089	0.807913882734205	0.849293028180545	0.797265914016386	0.867952975574858	0.901630981002096	0.833926702974779	0.841307884807907	0.824250357371927	0.865923883666699	0.817151880385456	0.873500229263354	0.847541253657181	0.85157293190638	0.843572897181262	0.838855959872639	0.834950211026222	0.823163869306522	0.882558118565298	0.830668793058808	0.867985409966565	0.867272477123248	0.872950503124937	0.835493120630887	0.851444783455725	0.850252206290513	0.848322952280719	0.792572786591683	0.84084582170866	0.837449232841745	0.852146600654068	0.892019181603996	0.894263809704177	0.892666833395677	0.835013897445048	0.804239383194504	0.865345467998619	0.832932291162047	0.848292535322011	0.857756617839782	0.851600682192408	0.774691424784248	0.878649801199662	0.871791399897905	0.851296170702351	0.861167309007653	0.823093758504098	0.829747835719766	0.896919984211746	0.838948685571215	0.832149986348641	0.847086508259105	0.839936934807549	0.814416554108043	0.83172220912832	0.719060588374463	0.864022586359966	0.866366601321579	0.819175939585568	0.847070540583525	0.887565811836406	0.852653026573107	0.84804510135827	0.859841933921149	0.876992861003516
GSM1045197	0.972688036919685	0.854720055072339	0.746284856679896	0.855408977091938	0.979308234413348	0.97894716930835	1	0.978283382231684	0.975421184067474	0.94208245649088	0.959693730955578	0.977180917857149	0.962262732948315	0.976030511050853	0.98308618966044	0.968655623095923	0.977122596172671	0.860606597353249	0.854586312735404	0.855430689039429	0.836449276113238	0.847237654527308	0.879678670188025	0.831874357084889	0.890920461851277	0.876058911550871	0.734294375204397	0.841221130100423	0.870024370522148	0.876375323719195	0.809646529080624	0.874601556146586	0.934326458687767	0.813496266886822	0.842836981664223	0.8823888966871	0.838210746694993	0.858700617155246	0.885706559422272	0.880202590842795	0.847800525869861	0.854604928079311	0.874150494497825	0.86259340565332	0.865438811389071	0.898819747624862	0.873115426897821	0.853649369697062	0.89963753821489	0.886733269217322	0.870746760992067	0.832533601384541	0.86378431675935	0.83673761743757	0.867133512421	0.872829487784325	0.840004573856275	0.823236461358383	0.859137199424831	0.812333502098662	0.878949264502398	0.90105865931245	0.843137319827243	0.846620470215173	0.842340593062277	0.882275187422243	0.821172260154577	0.886428193376996	0.860438264364322	0.858671629822168	0.851975066034505	0.847766158471356	0.846578556392384	0.834667951833317	0.893181389506385	0.834186331759599	0.881726792840494	0.881355202926215	0.885179813528549	0.848592815578175	0.865275761853134	0.861671860015315	0.859585659591303	0.800633598984404	0.854898906675689	0.849544527555836	0.866808187243712	0.902697928201054	0.903565757445437	0.905040122824406	0.846681671614282	0.816579129050193	0.879772516607002	0.843478762838292	0.866479135503738	0.869513384651008	0.864052007029212	0.788844814405315	0.895233826878168	0.887284389484815	0.861353886164004	0.872831384624264	0.833390095863704	0.841260775849607	0.909998300640488	0.853458372099138	0.838353243652069	0.861021944292364	0.852721339332498	0.82515848177892	0.843414525578146	0.728152484077876	0.876585631146354	0.876182978571437	0.823318555427305	0.863019272348371	0.899552587108659	0.866130336620059	0.862749378622916	0.867869669423831	0.888792365035408
GSM1045198	0.966617605041764	0.865023162786436	0.756183024737854	0.851907809645967	0.973909127103188	0.977769659377806	0.978283382231684	1	0.969630109024518	0.935339947254789	0.947398468868209	0.972597026960699	0.958405666593992	0.976158244446795	0.975505430022542	0.969081228680556	0.974783528970116	0.860521841625712	0.859284625892354	0.856085037186576	0.839127826271137	0.844460308623311	0.880464267023968	0.842026032578822	0.89549768308861	0.878769645665878	0.740678601019739	0.835272741282711	0.867121219992666	0.876151784045043	0.811067160181283	0.876315352741911	0.93084991217723	0.821200814889796	0.841685348027194	0.886100433912985	0.840282256214649	0.862278460326815	0.886905831378447	0.879633673660987	0.854069392745249	0.858237885490947	0.874761155452889	0.857662885879892	0.868509938888872	0.898372078015524	0.874815619866167	0.856847133015612	0.9009512900484	0.887720314732363	0.876857645356929	0.832119161784975	0.86263851310651	0.84323867017652	0.86674427117735	0.874612808460546	0.844711283136622	0.820787906712856	0.862635065804987	0.812361929394682	0.879141161839167	0.913276398963657	0.844713753067531	0.849977273497281	0.84326561196529	0.882979682199974	0.826060055638223	0.889920675425492	0.860316278104804	0.860086678964021	0.848275162092697	0.847926696792441	0.850312448869718	0.83717952046629	0.892191549292443	0.844279508219878	0.881010056494598	0.882858015445247	0.891312960917334	0.845581260575299	0.869135671687475	0.861654643650566	0.861201777911913	0.804639131371802	0.854072582905798	0.850727745042024	0.868047871287624	0.90813452800201	0.899644324590112	0.900978252250079	0.853249690475801	0.812409583188752	0.88208616225375	0.845660137708498	0.868264295889417	0.872021705524447	0.857497524302638	0.792251517825509	0.890252359736731	0.893386542082013	0.861286238737559	0.874127667169866	0.831287474898811	0.832032456812968	0.908727292354211	0.848134117596693	0.842740891685244	0.868220484125272	0.853896177489242	0.825265347787827	0.846105501479801	0.733217495219959	0.879033268755956	0.878605510590332	0.825450099846426	0.863576021380858	0.89761468918383	0.865092084559421	0.865230553855418	0.869391948571496	0.890025222606905
GSM1045199	0.961811675805557	0.837784342250058	0.735635642435871	0.839406547749202	0.974445839720708	0.978516654816638	0.975421184067474	0.969630109024518	1	0.928008504013285	0.941644039341881	0.979392026176596	0.956650510020575	0.974814770752807	0.97792484088676	0.966413545816348	0.979596477576421	0.851157744422303	0.838673777759622	0.842631500558082	0.819322079903242	0.827397312021615	0.858736776907778	0.820075282744591	0.878210802690218	0.856847252079503	0.716541700853622	0.824617247176802	0.853265044266489	0.865385441590115	0.788447296781838	0.857701724343826	0.917845356450481	0.791459783188	0.826357198912101	0.87080222718113	0.82258165484319	0.845616077039035	0.864220079272901	0.869505186178653	0.831574620296583	0.841589273778998	0.85810519259671	0.85184788151199	0.853325321935789	0.883298261305226	0.85627884747009	0.842388894667202	0.882005377681816	0.874273232462627	0.856227372410622	0.815612395649216	0.843599362162145	0.82035327232743	0.855473763119905	0.858027445189751	0.835739727461845	0.804878997680778	0.849665006263359	0.793032187170795	0.871364944142049	0.889859223794431	0.828627676788768	0.837063155985409	0.830834947781922	0.870533583001283	0.814494279102838	0.870336403752824	0.843216200961178	0.845935927176739	0.842999929505574	0.839162289422181	0.830103593965664	0.815413373632054	0.881147199276604	0.825173012045881	0.872288528717277	0.871226905159185	0.867516943707663	0.832961974774356	0.852113802493749	0.853401681335881	0.850957650996864	0.792294803004261	0.839468757185777	0.835470628439812	0.854842260521201	0.887732923969782	0.891308570239353	0.895122338217354	0.836761366671937	0.803126571380611	0.865640273554065	0.836282290086792	0.851452874416293	0.857903692588544	0.852097686472991	0.774395782010483	0.884826574072534	0.876956643304982	0.852478055272078	0.858847797197848	0.8159034381587	0.833556657073033	0.897901066647421	0.841605094373186	0.830771784149066	0.840157867868347	0.838821798849519	0.812511425468743	0.826632388451457	0.709567442556728	0.86588513234756	0.864872858290433	0.808983369819865	0.846343085991875	0.887068404340241	0.859975923802806	0.850972023079606	0.861699164483417	0.878091279010278
GSM1045200	0.956910301435038	0.855698904481781	0.745903550415636	0.884312302266127	0.942204899452552	0.93935992252858	0.94208245649088	0.935339947254789	0.928008504013285	1	0.945989718721441	0.940711684536956	0.940516824646473	0.922951358629929	0.935473787568545	0.93807620917274	0.937101494788471	0.886789680733656	0.897892962739828	0.891495462193365	0.872527417123003	0.867081494533239	0.915745496596487	0.840091449697025	0.903338159101891	0.886540266920856	0.783244087945097	0.866846367544045	0.886500562876561	0.887421728516485	0.841166560820963	0.897603270946988	0.949734914313299	0.868018994343313	0.86190402524805	0.905411598156732	0.877059542656032	0.896457651011902	0.910779494407846	0.891169622350368	0.878968559203918	0.881802256055918	0.898776560080217	0.876403213653517	0.898985341792039	0.927910146310658	0.898453068492486	0.885998712064222	0.922452510716117	0.904445878218113	0.893552573663378	0.878762928100071	0.900057943845339	0.874926978825924	0.896623156121315	0.913803548807757	0.856494018642732	0.842091533892934	0.882889711670663	0.850322206023844	0.896746016222598	0.895718314010671	0.886084693890351	0.88220538284539	0.86213317252841	0.895194701769611	0.85582830415705	0.905988601826361	0.894676365781546	0.896721805106602	0.864180157780423	0.879717888867769	0.881397511551822	0.857363406989559	0.919809098908161	0.832978713646509	0.900153976374136	0.896568122957841	0.900676887451519	0.867474117528023	0.886059384875909	0.891261044116044	0.88187316672292	0.832377268454893	0.869536869169715	0.8788326153065	0.892623812068335	0.919052838623843	0.92536707755881	0.918501860353424	0.863090121058816	0.841696159996259	0.89792769070884	0.869811034368815	0.877329022100159	0.891341742430305	0.880290837270375	0.814946518786367	0.908925716671694	0.884866080384137	0.882437355292033	0.907276893557007	0.861636586070396	0.857463548076425	0.923587177781964	0.86005648455222	0.866737445613784	0.872119470316761	0.886033236680809	0.868306820190235	0.870979874340834	0.779824314895256	0.892673967771577	0.902346512446035	0.875290700275554	0.875914386054603	0.920357894090849	0.886139573898007	0.888640643472929	0.890793516704496	0.911406873276239
