term_id	p_value	bh_fdr	log2err	ES	NES	intersected_set_size	leading_edge_ids	status	collection	term_name	original_set_size	direction	rank_statistic	rank_gene_count	rank_tie_member_fraction	score_exponent	source_snapshot	leading_edge_symbols
R-HSA-8941326	0.732360097323601	0.849769735758747	0.0696133438850965	0.266875267457758	0.848553799655941	29	860;4086;2737;1277;10432	completed	Reactome_preranked_GSEA_fallback	RUNX2 regulates bone development	32	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	RUNX2;SMAD1;GLI3;COL1A1;RBM14
R-HSA-5674135	0.729235880398671	0.849769735758747	0.0516355964484201	-0.262970591561797	-0.834586602201287	37	7094;54518;5906;408;5908;5604;7450	completed	Reactome_preranked_GSEA_fallback	MAP2K and MAPK activation	40	normal_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	TLN1;APBB1IP;RAP1A;ARRB1;RAP1B;MAP2K1;VWF
R-HSA-73980	0.731497418244406	0.849769735758747	0.0531298054705469	-0.287252793216327	-0.815278902269685	23	6741;5441;84265;5434	completed	Reactome_preranked_GSEA_fallback	RNA Polymerase III Transcription Termination	23	normal_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	SSB;POLR2L;POLR3GL;POLR2E
R-HSA-4839743	0.735169491525424	0.849769735758747	0.0626618230932492	0.297305429018549	0.798212122945874	15	1452;2932;5518;324;5527;8312;1499	completed	Reactome_preranked_GSEA_fallback	Signaling by CTNNB1 phospho-site mutants	15	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	CSNK1A1;GSK3B;PPP2R1A;APC;PPP2R5C;AXIN1;CTNNB1
R-HSA-5339716	0.735169491525424	0.849769735758747	0.0626618230932492	0.297305429018549	0.798212122945874	15	1452;2932;5518;324;5527;8312;1499	completed	Reactome_preranked_GSEA_fallback	Signaling by GSK3beta mutants	15	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	CSNK1A1;GSK3B;PPP2R1A;APC;PPP2R5C;AXIN1;CTNNB1
R-HSA-5358747	0.735169491525424	0.849769735758747	0.0626618230932492	0.297305429018549	0.798212122945874	15	1452;2932;5518;324;5527;8312;1499	completed	Reactome_preranked_GSEA_fallback	CTNNB1 S33 mutants aren't phosphorylated	15	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	CSNK1A1;GSK3B;PPP2R1A;APC;PPP2R5C;AXIN1;CTNNB1
R-HSA-5358749	0.735169491525424	0.849769735758747	0.0626618230932492	0.297305429018549	0.798212122945874	15	1452;2932;5518;324;5527;8312;1499	completed	Reactome_preranked_GSEA_fallback	CTNNB1 S37 mutants aren't phosphorylated	15	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	CSNK1A1;GSK3B;PPP2R1A;APC;PPP2R5C;AXIN1;CTNNB1
R-HSA-5358751	0.735169491525424	0.849769735758747	0.0626618230932492	0.297305429018549	0.798212122945874	15	1452;2932;5518;324;5527;8312;1499	completed	Reactome_preranked_GSEA_fallback	CTNNB1 S45 mutants aren't phosphorylated	15	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	CSNK1A1;GSK3B;PPP2R1A;APC;PPP2R5C;AXIN1;CTNNB1
R-HSA-5358752	0.735169491525424	0.849769735758747	0.0626618230932492	0.297305429018549	0.798212122945874	15	1452;2932;5518;324;5527;8312;1499	completed	Reactome_preranked_GSEA_fallback	CTNNB1 T41 mutants aren't phosphorylated	15	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	CSNK1A1;GSK3B;PPP2R1A;APC;PPP2R5C;AXIN1;CTNNB1
R-HSA-2173796	0.737226277372263	0.851172568553955	0.0692836467392548	0.250039039925059	0.835389827751793	35	1278;4221;60436;904;3065;905;1025;1874;2033	completed	Reactome_preranked_GSEA_fallback	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	36	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	COL1A2;MEN1;TGIF2;CCNT1;HDAC1;CCNT2;CDK9;E2F4;EP300
R-HSA-3858494	0.740181268882175	0.853863117773784	0.0466015072985992	-0.221104464362429	-0.872498044108149	126	801;54331;8322;7481;7855;2791;5532;5700;23002;7311;55970;7316;5534;83439;2780;6934;5148;6233;9861;5714;5530;1211;5684	completed	Reactome_preranked_GSEA_fallback	Beta-catenin independent WNT signaling	133	normal_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	CALM1;GNG2;FZD4;WNT11;FZD5;GNG11;PPP3CB;PSMC1;DAAM1;UBA52;GNG12;UBC;PPP3R1;TCF7L1;GNAT2;TCF7L2;PDE6G;RPS27A;PSMD6;PSMD8;PPP3CA;CLTA;PSMA3
R-HSA-9824439	0.743034055727554	0.85643132730149	0.0475434194201301	-0.227486996851101	-0.867494055773354	99	801;3910;30011;4360;118429;9899;3908;2060;1511;112755;7311;50509;127833;1839;7316;5604;3915;22987;1282;6233;5608	completed	Reactome_preranked_GSEA_fallback	Bacterial Infection Pathways	295	normal_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	CALM1;LAMA4;SH3KBP1;MRC1;ANTXR2;SV2B;LAMA2;EPS15;CTSG;STX1B;UBA52;COL5A3;SYT2;HBEGF;UBC;MAP2K1;LAMC1;SV2C;COL4A1;RPS27A;MAP2K6
R-HSA-9954709	0.744444444444445	0.857334082186652	0.0486034247259069	-0.229514764440609	-0.86422558982687	92	5700;6135;7311;7316;6176;9045;6124;9147;6161;6166;6233;9861;6164;8453;5714;6125;5684;6133;140801;5695;5707;9349;6167;6138;5694;5688;6169;6173;5713;5717;6137;5682;7321;22980;10213;5718;6156;6146;7353;25898;6142	completed	Reactome_preranked_GSEA_fallback	Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide	103	normal_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	PSMC1;RPL11;UBA52;UBC;RPLP1;RPL14;RPL4;NEMF;RPL32;RPL36AL;RPS27A;PSMD6;RPL34;CUL2;PSMD8;RPL5;PSMA3;RPL9;RPL10L;PSMB7;PSMD1;RPL23;RPL37;RPL15;PSMB6;PSMA7;RPL38;RPL36A;PSMD7;PSMD11;RPL13;PSMA1;UBE2D1;TCF25;PSMD14;PSMD12;RPL30;RPL22;UFD1;RCHY1;RPL18A
R-HSA-69541	0.75	0.863005050505051	0.0508054139066364	-0.251205063425507	-0.825297883191193	43	5700;7311;7316;6233;9861;5714;5684;64326;5695;5707;5694;5688;5713;5717;5682;10213;5718	completed	Reactome_preranked_GSEA_fallback	Stabilization of p53	44	normal_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	PSMC1;UBA52;UBC;RPS27A;PSMD6;PSMD8;PSMA3;COP1;PSMB7;PSMD1;PSMB6;PSMA7;PSMD7;PSMD11;PSMA1;PSMD14;PSMD12
R-HSA-8854214	0.751207729468599	0.863667759616127	0.0679922591544058	0.239459879758129	0.840653284318656	42	84958;26088;382;5870;26000;55357;4218;5869;23163;8408;57465;7249;51256	completed	Reactome_preranked_GSEA_fallback	TBC/RABGAPs	45	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	SYTL1;GGA1;ARF6;RAB6A;TBC1D10B;TBC1D2;RAB8A;RAB5B;GGA3;ULK1;TBC1D24;TSC2;TBC1D7
R-HSA-114508	0.755501222493888	0.867874093402642	0.0683110858318647	0.267158496420712	0.823827197887999	26	221955;8527;1609;160851;10125;8526	completed	Reactome_preranked_GSEA_fallback	Effects of PIP2 hydrolysis	26	cancer_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	DAGLB;DGKD;DGKQ;DGKH;RASGRP1;DGKE
R-HSA-5621481	0.759630200308166	0.87115309045408	0.0463227785794633	-0.220888993702202	-0.862129301373837	121	30835;801;5532;2534;5700;3384;5568;10462;7311;4585;7316;5534;5566;6233;9861;5714;5530;841;5684;5063;2207;5580;4586;50856;5695;4067;5707;64581;4775;4773;4792	completed	Reactome_preranked_GSEA_fallback	C-type lectin receptors (CLRs)	127	normal_up	P1 cancer-minus-normal moderated t	20357	0	1	reactome.db_1.95.0__fgsea_1.36.2	CD209;CALM1;PPP3CB;FYN;PSMC1;ICAM2;PRKACG;CLEC10A;UBA52;MUC4;UBC;PPP3R1;PRKACA;RPS27A;PSMD6;PSMD8;PPP3CA;CASP8;PSMA3;PAK3;FCER1G;PRKCD;MUC5AC;CLEC4A;PSMB7;LYN;PSMD1;CLEC7A;NFATC3;NFATC2;NFKBIA
