tissue_group	genes	spearman_mean_variance	linear_slope_log2_variance_per_expression_unit	median_log2_variance
normal	20357	0.772175915444694	0.993521381414553	-2.15674543400347
cancer	20357	0.778821054244586	0.815693481556043	-1.36513149203346
