pca_feature_set	PC	variance_explained
top5000_MAD	1	0.203012354295415
top5000_MAD	2	0.109451032248181
top5000_MAD	3	0.0923064649464858
top5000_MAD	4	0.050657144544957
top5000_MAD	5	0.0466354517124014
top5000_MAD	6	0.036437302746065
top5000_MAD	7	0.0269535420932324
top5000_MAD	8	0.0204435276076768
top5000_MAD	9	0.0182649193633884
top5000_MAD	10	0.0161980723577931
top5000_MAD	11	0.0127925899617143
top5000_MAD	12	0.0119311616887719
top5000_MAD	13	0.0114309157755281
top5000_MAD	14	0.0105240805768213
top5000_MAD	15	0.00984165246200629
top5000_MAD	16	0.00943713439495985
top5000_MAD	17	0.00868074008141865
top5000_MAD	18	0.00844695939770832
top5000_MAD	19	0.00811889939111823
top5000_MAD	20	0.00774702299805722
top5000_MAD	21	0.00751696470663839
top5000_MAD	22	0.00697786090320508
top5000_MAD	23	0.00678506196464343
top5000_MAD	24	0.00667034895632587
top5000_MAD	25	0.00641689946292582
top5000_MAD	26	0.00630840205258205
top5000_MAD	27	0.00609917908105467
top5000_MAD	28	0.00590357529626004
top5000_MAD	29	0.00578781569099136
top5000_MAD	30	0.00561382797790435
top5000_MAD	31	0.00552280704270599
top5000_MAD	32	0.00529784012900262
top5000_MAD	33	0.00510956379221221
top5000_MAD	34	0.00497140647837884
top5000_MAD	35	0.00488860812072099
top5000_MAD	36	0.00478519943592117
top5000_MAD	37	0.00463936433162634
top5000_MAD	38	0.00453759465443429
top5000_MAD	39	0.00451916106836119
top5000_MAD	40	0.00437895901617442
top5000_MAD	41	0.00421097276782523
top5000_MAD	42	0.0041653317037908
top5000_MAD	43	0.00403074483899982
top5000_MAD	44	0.00390704908978642
top5000_MAD	45	0.00385958054247062
top5000_MAD	46	0.00375959136831359
top5000_MAD	47	0.00364924615699454
top5000_MAD	48	0.00361468446235469
top5000_MAD	49	0.00355295970360836
top5000_MAD	50	0.00349134347951722
top5000_MAD	51	0.00345236165961815
top5000_MAD	52	0.00341157143611638
top5000_MAD	53	0.00339593178513886
top5000_MAD	54	0.00326277601624173
top5000_MAD	55	0.0032120947027642
top5000_MAD	56	0.00313479375096261
top5000_MAD	57	0.00311413877135629
top5000_MAD	58	0.00305195776366806
top5000_MAD	59	0.00300621585600849
top5000_MAD	60	0.00295654900709484
top5000_MAD	61	0.0029247378953413
top5000_MAD	62	0.00281728034217897
top5000_MAD	63	0.00274658261519663
top5000_MAD	64	0.00266248503807775
top5000_MAD	65	0.0026422730717678
top5000_MAD	66	0.00260768832287939
top5000_MAD	67	0.00255814878899516
top5000_MAD	68	0.00253861763104588
top5000_MAD	69	0.00248148494267022
top5000_MAD	70	0.00244444629725721
top5000_MAD	71	0.00239860545325928
top5000_MAD	72	0.00236696492735422
top5000_MAD	73	0.00228973900686697
top5000_MAD	74	0.00225249009657173
top5000_MAD	75	0.00215818592528304
top5000_MAD	76	0.00213273875925651
top5000_MAD	77	0.00211251575125977
top5000_MAD	78	0.00208321600859753
top5000_MAD	79	0.00204557025275664
top5000_MAD	80	0.00203226631939823
top5000_MAD	81	0.00197708958997437
top5000_MAD	82	0.00195985589239642
top5000_MAD	83	0.0018681964202715
top5000_MAD	84	0.00182948965947361
top5000_MAD	85	0.00181260288053695
top5000_MAD	86	0.00178520748472897
top5000_MAD	87	0.00176488806509667
top5000_MAD	88	0.00174741084277817
top5000_MAD	89	0.00172716029663053
top5000_MAD	90	0.00166531652099464
top5000_MAD	91	0.00164146797318969
top5000_MAD	92	0.00158848234362357
top5000_MAD	93	0.00155238642106043
top5000_MAD	94	0.00150926578280534
top5000_MAD	95	0.00146776662490048
top5000_MAD	96	0.00141390079712117
top5000_MAD	97	0.00140095175336939
top5000_MAD	98	0.00133711415038406
top5000_MAD	99	0.001312526634708
top5000_MAD	100	0.00129147212876108
top5000_MAD	101	0.00120935645901432
top5000_MAD	102	0.0011800289848489
top5000_MAD	103	0.00115684584098609
top5000_MAD	104	0.00113837027408201
top5000_MAD	105	0.00110923838227515
top5000_MAD	106	0.00105570670570947
top5000_MAD	107	0.00102286611924377
top5000_MAD	108	0.000950977367878789
top5000_MAD	109	0.000918847426101613
top5000_MAD	110	0.000889495851542133
top5000_MAD	111	0.000881105899199556
top5000_MAD	112	0.000848646730572351
top5000_MAD	113	0.000764420526653785
top5000_MAD	114	0.000688926697775359
top5000_MAD	115	0.000623811825171178
top5000_MAD	116	0.000602876346814042
top5000_MAD	117	0.000537200595832942
top5000_MAD	118	0.000460086212490342
top5000_MAD	119	0.000386091486421396
top5000_MAD	120	0.000345206890167124
top5000_MAD	121	2.56237615289522e-30
top1000_MAD	1	0.223424389765233
top1000_MAD	2	0.138199795433624
top1000_MAD	3	0.0781422925494571
top1000_MAD	4	0.0550792305904476
top1000_MAD	5	0.0399774425407704
top1000_MAD	6	0.0322634055671199
top1000_MAD	7	0.0220097422394792
top1000_MAD	8	0.0201259574709854
top1000_MAD	9	0.0192915539868484
top1000_MAD	10	0.0136884389768993
top1000_MAD	11	0.0134466854433355
top1000_MAD	12	0.0116879029930446
top1000_MAD	13	0.0112155662858981
top1000_MAD	14	0.0104215275771552
top1000_MAD	15	0.0100560796631701
top1000_MAD	16	0.00967857587240586
top1000_MAD	17	0.00929455112961443
top1000_MAD	18	0.00877175572247787
top1000_MAD	19	0.00821310191030793
top1000_MAD	20	0.00777285922247227
top1000_MAD	21	0.00760369314424353
top1000_MAD	22	0.00750867239299479
top1000_MAD	23	0.00717626985263113
top1000_MAD	24	0.00702664218341328
top1000_MAD	25	0.00675241470041603
top1000_MAD	26	0.00645433289862674
top1000_MAD	27	0.00609970385713895
top1000_MAD	28	0.00594543367813864
top1000_MAD	29	0.00576779414665512
top1000_MAD	30	0.00563492876052575
top1000_MAD	31	0.00537224270456563
top1000_MAD	32	0.00531234826798117
top1000_MAD	33	0.00500991280784613
top1000_MAD	34	0.00491337607392706
top1000_MAD	35	0.00476328343905676
top1000_MAD	36	0.00460634773042029
top1000_MAD	37	0.00453607078296858
top1000_MAD	38	0.00434107161318018
top1000_MAD	39	0.004230492371944
top1000_MAD	40	0.00403743435822172
top1000_MAD	41	0.00394977758532336
top1000_MAD	42	0.00391162893361594
top1000_MAD	43	0.00381836971575215
