probe_id	entrez_count	mapped_entrez_ids	probe_variance	pooled_median_expression	is_constant	is_affx_control	suffix_class	mapping_status	primary_eligible	many_probes_per_gene
215386_at	0	NA	0.391563098595813	2.71180265	FALSE	FALSE	at	unmapped	FALSE	FALSE
215387_x_at	0	NA	1.08673850043645	5.37387273	FALSE	FALSE	x_at	unmapped	FALSE	FALSE
215388_s_at	2	3075;3078	1.92920014127121	7.776679204	FALSE	FALSE	s_at	one_to_many	FALSE	FALSE
215389_s_at	1	7139	0.512663732681085	2.675484358	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
215390_at	0	NA	0.513461931404252	2.543993109	FALSE	FALSE	at	unmapped	FALSE	FALSE
215391_at	1	4130	0.000965155471424616	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215392_at	0	NA	0.508838904878672	2.525913117	FALSE	FALSE	at	unmapped	FALSE	FALSE
215393_s_at	1	22837	0.618737787977024	2.312811642	FALSE	FALSE	s_at	primary_eligible	TRUE	TRUE
215394_at	1	5289	0.0434451638067463	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215395_x_at	1	154754	0.102894113531341	2.993428442	FALSE	FALSE	x_at	cross_hybridizing_x_at	FALSE	FALSE
215396_at	1	84059	2.31372318520232e-06	2.312811642	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215397_x_at	0	NA	0.464662509120174	2.974793385	FALSE	FALSE	x_at	unmapped	FALSE	FALSE
215398_at	0	NA	0.310187210667326	2.79056873	FALSE	FALSE	at	unmapped	FALSE	FALSE
215399_s_at	1	10956	0.903265849154077	6.81025112	FALSE	FALSE	s_at	primary_eligible	TRUE	FALSE
215400_x_at	1	115	0.070725961292439	2.870522045	FALSE	FALSE	x_at	cross_hybridizing_x_at	FALSE	FALSE
215401_at	0	NA	0.108984597835626	2.480997086	FALSE	FALSE	at	unmapped	FALSE	FALSE
215402_at	1	10513	0.146248259827816	2.875188102	FALSE	FALSE	at	primary_eligible	TRUE	TRUE
215403_at	0	NA	0.0199538760371947	2.315011178	FALSE	FALSE	at	unmapped	FALSE	FALSE
215404_x_at	1	2260	0.614675476521964	7.195625525	FALSE	FALSE	x_at	cross_hybridizing_x_at	FALSE	FALSE
