entrez_id	log2FC	fold_change_cancer_over_normal	average_expression	standard_error	ci95_low	ci95_high	moderated_t	p_value	bh_fdr	treat_t	treat_p_value	treat_bh_fdr	symbol_at_run	gene_name_at_run	representative_probe_id	specificity_tier	suffix_class	representative_pooled_median	eligible_probe_count_for_gene	annotation_package	annotation_package_version	human_gene_package_version	s1_log2FC	s1_standard_error	s1_bh_fdr	s1_treat_bh_fdr	s2_log2FC	s2_standard_error	s2_bh_fdr	s2_treat_bh_fdr	s4_no_trend_log2FC	s4_no_trend_standard_error	s4_no_trend_bh_fdr	s4_no_trend_treat_bh_fdr	s4_group_aware_log2FC	s4_group_aware_standard_error	s4_group_aware_bh_fdr	s4_group_aware_treat_bh_fdr	median_collapse_log2FC	median_collapse_standard_error	median_collapse_bh_fdr	median_collapse_treat_bh_fdr	qc_candidate_exclusion_log2FC	qc_candidate_exclusion_standard_error	qc_candidate_exclusion_bh_fdr	qc_candidate_exclusion_treat_bh_fdr	s3_status	s3_log2FC	s3_standard_error	s3_bh_fdr	s3_treat_bh_fdr	constituent_probe_count_modelled	constituent_same_direction_count	constituent_same_direction_fraction	any_opposite_direction_probe	any_material_opposite_treat_probe	material_opposite_probe_ids	statistically_discovered	priority_effect	representative_median_direction_concordant	core_sensitivity_direction_concordant	headline_eligible	contrast	result_annotation_status	leave_one_run_all_same_direction	leave_one_run_min_abs_log2FC
203228	-1.0572844390831	0.480535713322713	3.3563993871405	0.224405327720023	-1.50201043902663	-0.61255843913956	-4.7114943741541	7.24513925369453e-06	9.53389138897605e-05	-3.53935461924611	0.000294693886409362	0.0035518552075994	C9orf72	C9orf72-SMCR8 complex subunit	1553133_at	1	at	2.932365039	3	hgu133plus2.db	3.13.0	3.22.0	-1.02680255763292	0.175783037357353	4.80252340395498e-07	0.000143799018498544	-1.05728443908309	0.241329188761792	0.000520491653136248	0.00861747657656738	-1.0572844390831	0.224768774303586	9.90768488884032e-05	0.0036379045345322	-0.980875097376826	0.216978072013066	0.000146726613078083	0.00571572044649751	-1.0572844390831	0.223950363530081	9.33257317222373e-05	0.00392390998186094	-1.19751339227898	0.242782347874051	3.97356541610231e-05	0.00126068238825329	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	3	3	1	FALSE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	0.843699726321832
147015	1.69333506340148	3.23403448686494	4.46919484768595	0.403918724236973	0.892849797043084	2.49382032975987	4.19226681456842	5.61014736294235e-05	0.000559557912138253	3.54106054446871	0.000295073441841015	0.00355432547666127	DHRS13	dehydrogenase/reductase 13	226121_at	1	at	4.233655543	1	hgu133plus2.db	3.13.0	3.22.0	1.98700390245645	0.318480347009833	8.30618999957931e-08	2.32788207617934e-06	1.69333506340148	0.326811442862442	4.81375046050826e-05	0.000458066318305837	1.69333506340148	0.40607280092831	0.00060696352694199	0.00377975983214464	1.70350789420756	0.258778481812919	4.29519880454987e-08	2.38717430341033e-06	1.69333506340148	0.40351540399153	0.000562577137321476	0.00397249827924361	1.68634321990233	0.417907972082064	0.000877708063276891	0.00472484751610152	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	1	1	1	FALSE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	1.57688971845166
29922	2.02338197287456	4.0653567872681	7.64907691399174	0.49765742753284	1.03712554421705	3.00963840153208	4.065812868313	9.02724445358825e-05	0.000843357573848996	3.53726774614372	0.000302589866050933	0.00364270958202179	NME7	NME/NM23 family member 7	227556_at	1	at	7.893447499	2	hgu133plus2.db	3.13.0	3.22.0	1.74699825964763	0.401931865252911	0.00017551280543908	0.00130038453086704	2.02338197287456	0.441747480994623	0.000290518071247406	0.00138954454727063	2.02338197287456	0.500485369150157	0.000918081394732626	0.00388435729513833	2.07831726173207	0.442567463749163	7.89437560006513e-05	0.000512623966105174	0.981464960935534	0.361623888133702	0.0333967104953295	0.159046385698335	2.16432026117565	0.529828384166908	0.000747706889433819	0.00282219451239673	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	2	1	0.5	TRUE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	1.89908149571132
55846	0.921451352487607	1.89401972087774	5.93070346712397	0.18655909948202	0.551733002281302	1.29116970269391	4.93919275471425	2.82112969210725e-06	4.22588205608737e-05	3.5292673929168	0.000304831096085725	0.00366752164480917	ITFG2	integrin alpha FG-GAP repeat containing 2	220590_at	1	at	5.859307385	4	hgu133plus2.db	3.13.0	3.22.0	0.86126265080147	0.148000503559674	5.25508548360732e-07	0.000411486575603555	0.921451352487608	0.145469892788952	1.24604582343761e-06	0.000295784385779886	0.921451352487607	0.184170682107739	3.41107940198607e-05	0.00325206970345933	0.952163321414143	0.166043713081158	1.4586111525193e-06	0.000434149645414553	0.0370656053600038	0.147382372816787	0.908623748004645	1	1.08699772354466	0.196237504536847	3.82362263473079e-06	0.000402778805065614	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	4	3	0.75	TRUE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	0.814964982542768
5737	-0.888044644733237	0.540345979554162	2.63902524761983	0.177143396138898	-1.23910704945277	-0.536982240013709	-5.01313999894708	2.06854486318134e-06	3.24063999274631e-05	-3.52827287114544	0.00030596707922293	0.00367901466730135	PTGFR	prostaglandin F receptor	207177_at	1	at	2.32411917	2	hgu133plus2.db	3.13.0	3.22.0	-1.13253129504016	0.144875144157853	4.98960304765412e-11	1.90545678110574e-07	-0.888044644733238	0.202895124777952	0.00052658023338198	0.0142342318482046	-0.888044644733237	0.177861130876073	3.54383862142463e-05	0.00385268550335071	-0.782100767522817	0.198776851569448	0.00105132663911479	0.0339270422604744	-0.449152157900601	0.0977615990654406	0.00014659865708036	0.181761850307555	-0.838808876944897	0.189202094091819	0.00023839403709872	0.012447772873259	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	2	2	1	FALSE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	0.695751785985488
100306951	-1.37496999456538	0.385560725230888	6.50962838719008	0.315278783773057	-1.99978881593218	-0.750151173198585	-4.36112439318184	2.93030650967443e-05	0.000319337524718642	-3.52683290459525	0.000307937831632972	0.00370052564259292	PITPNA-AS1	PITPNA antisense RNA 1	228972_at	1	at	6.394806978	1	hgu133plus2.db	3.13.0	3.22.0	-1.6541515040922	0.259056307733016	4.3308196616077e-08	2.77692112494005e-06	-1.37496999456538	0.336076014847391	0.00120412577201958	0.00827016443653348	-1.37496999456538	0.315628760446947	0.000331046347481635	0.00375787884671514	-1.32383693764581	0.303624970957863	0.000258081905129046	0.00334982541054745	-1.37496999456538	0.314919571191946	0.000320094896434922	0.00412813423310711	-1.95975318658441	0.298506585625291	5.2438984089501e-08	1.57032347303057e-06	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	1	1	1	FALSE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	1.12486102814461
3987	-1.15173480048579	0.450083692710505	9.73415338677686	0.252062493823389	-1.65127171323559	-0.652197887735983	-4.56924305959126	1.28781224325828e-05	0.000157076056536901	-3.52571452091825	0.000308706176429804	0.00370538421791364	LIMS1	LIM zinc finger domain containing 1	212687_at	1	at	9.609454059	3	hgu133plus2.db	3.13.0	3.22.0	-1.29709736867421	0.195880187897284	1.48768818143176e-08	4.05393330915256e-06	-1.15173480048578	0.282988532512943	0.00127893901683369	0.0125037578538244	-1.15173480048579	0.251537613152969	0.000154438583780648	0.00363924111302826	-1.13661314090742	0.231783515220187	3.73815324221791e-05	0.00147442795685169	-1.12489063968139	0.289864188579071	0.00152402893743914	0.0188466076056813	-1.23889172264667	0.270783701015137	0.000145730431472929	0.00264280065270777	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	3	2	0.666666666666667	TRUE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	0.988518959692047
7976	1.68491073003938	3.21520500886477	5.72205900528099	0.403051713739534	0.886143703235961	2.4836777568428	4.18038349076026	5.86893180972936e-05	0.000581484068899667	3.52777640122987	0.000308679616024831	0.00370538421791364	FZD3	frizzled class receptor 3	239082_at	1	at	5.733823395	4	hgu133plus2.db	3.13.0	3.22.0	1.48502215008993	0.310421215011118	3.51384241995647e-05	0.000585349810596085	1.68491073003938	0.381151832040806	0.000463033030212289	0.0027768447208195	1.68491073003938	0.404805328695681	0.000623783544294717	0.00389501773176217	1.70063513008072	0.351785825481168	4.82572365935337e-05	0.000533952687906767	1.0491446112373	0.321966720972731	0.00899174978431868	0.0647582520576904	2.12716403557259	0.423686303831096	2.87435701056496e-05	0.000201747063697544	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	4	4	1	FALSE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	1.37240645195415
9920	-0.950833868482973	0.517333360124581	2.6523666552562	0.195237640989372	-1.33775540906219	-0.563912327903756	-4.87013602328217	3.76849884841115e-06	5.45126750908547e-05	-3.52288349297675	0.000311609559443177	0.0037380293468384	KBTBD11	kelch repeat and BTB domain containing 11	204301_at	1	at	2.366776787	1	hgu133plus2.db	3.13.0	3.22.0	-1.01173749246663	0.159369652042905	5.10730436042379e-08	3.95043384294932e-05	-0.950833868482972	0.238746000319058	0.00163187869333629	0.0227992472335465	-0.950833868482973	0.196150751358198	5.9963739386734e-05	0.0039382651340427	-0.85944412706106	0.164394304712749	1.0955332525313e-05	0.00225636563109447	-0.950833868482973	0.195105884085664	5.41758069072793e-05	0.00419241461448664	-1.14664551617895	0.209111485044021	4.7943098554915e-06	0.000368263319847947	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	1	1	1	FALSE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	0.832764946113125
25852	1.12918991350479	2.18735883558334	6.65005340924793	0.245881937249819	0.641901614592793	1.61647821241679	4.59240693372902	1.17351145860951e-05	0.000145134706943583	3.52264797227042	0.000311914049257374	0.00373947838676817	ARMC8	armadillo repeat containing 8	236966_at	1	at	6.644873125	5	hgu133plus2.db	3.13.0	3.22.0	1.37988551504695	0.200136123936165	4.25206841171325e-09	1.15379206750214e-06	1.12918991350479	0.221271085707595	6.07909465388577e-05	0.00167464978349409	1.12918991350479	0.244919988775675	0.000138449096359734	0.0036097109691461	1.12025869487213	0.221210837819036	2.04660405731979e-05	0.00105313704583229	0.0601262883975973	0.177229395622272	0.870286149321293	1	1.1649872240727	0.269112360932729	0.000337550650132242	0.00546881612112727	not_applicable_no_confirmed_technical_failures	NA	NA	NA	NA	5	1	0.2	TRUE	FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	cancer-minus-normal	current_annotation_at_run	TRUE	1.04650213212398
