entrez_id	moderated_t	rank
1832	11.8429966667053	1
10653	11.199727309375	2
54845	11.1386832524181	3
286077	10.7969883923699	4
5590	10.7260337318129	5
55227	10.1309740594987	6
7020	9.8048189335831	7
3624	9.77326391774904	8
6382	9.74903023900288	9
5050	9.74262562985894	10
4072	9.6526757465885	11
28982	9.50780928284904	12
79977	9.3610382201532	13
2065	9.35698420828674	14
8535	9.31838064969084	15
79703	9.21231317064869	16
29128	9.15464648423628	17
5652	9.05866574859182	18
6659	9.03690345039255	19
1741	9.00494245744854	20
57111	8.96816562330396	21
89891	8.95231127906467	22
999	8.82558352319613	23
83481	8.77497312131345	24
81539	8.73449281340453	25
80004	8.72464675939843	26
153562	8.697521015114	27
5928	8.65237887251208	28
2146	8.62187454974223	29
10053	8.58216033807503	30
157638	8.56271288029934	31
7421	8.54838117372563	32
100133941	8.51009129612132	33
51599	8.43862269391931	34
51361	8.40526823554623	35
10147	8.39629016702953	36
100506658	8.32429312748571	37
376267	8.31277553980324	38
65108	8.25062047947723	39
1040	8.23043170495285	40
2810	8.22013169588915	41
23423	8.20318928057619	42
51514	8.18379843750307	43
3880	8.17076470360055	44
6241	8.14882103261198	45
5094	8.12524195785002	46
23550	8.05170858124116	47
9768	8.04397837716015	48
23176	7.98374123326265	49
9139	7.96342842002867	50
22931	7.93427607847684	51
163183	7.89240046890529	52
51203	7.86244469134302	53
79056	7.86144890908406	54
9620	7.85358264221678	55
488	7.84592130753358	56
3985	7.83023594182626	57
57669	7.81342540865445	58
200424	7.80192354989816	59
3664	7.7872370388616	60
124583	7.76735762064565	61
55920	7.75214668680145	62
55657	7.71345008060373	63
8480	7.69145336445188	64
10451	7.66951042059799	65
3321	7.62983227293706	66
55620	7.62560994006157	67
1942	7.62381036106385	68
84419	7.60802182399582	69
9584	7.6052674251316	70
5315	7.59950320685814	71
54836	7.59392946113444	72
197335	7.58683856681422	73
63922	7.57494118228157	74
784	7.57346210170174	75
9601	7.54885889340722	76
23446	7.54765922648163	77
9266	7.51605739374449	78
4282	7.51332223642996	79
9618	7.50789453726378	80
147798	7.48129697139079	81
51433	7.46719813206575	82
2130	7.4545675226652	83
55215	7.44831407768087	84
10970	7.44680914558109	85
57648	7.42190631725422	86
6385	7.41375696046523	87
102724362	7.4109072971368	88
11335	7.40746292873422	89
389677	7.39139053763309	90
9134	7.36732281963093	91
90861	7.3511713794373	92
148327	7.34891570597375	93
10529	7.33229899580913	94
11226	7.33196468218371	95
54869	7.3150539146339	96
22889	7.30636319934918	97
1300	7.30263243549967	98
57674	7.30259652611135	99
29896	7.29556494339849	100
79778	7.29514555998443	101
1108	7.2869131803391	102
7227	7.28599967524621	103
9837	7.28587033604438	104
7355	7.28041434094624	105
1364	7.26478836394043	106
92421	7.23710997963331	107
131578	7.2334553273507	108
9170	7.22990695176788	109
2050	7.22465322608	110
1786	7.22350610843278	111
84958	7.19894898105034	112
2625	7.17886319882126	113
27075	7.17316149986676	114
3728	7.1456001227568	115
10723	7.13338857627003	116
6491	7.12043959523795	117
124222	7.09597667921169	118
23067	7.09162389437313	119
780	7.08841270713652	120
10509	7.07743663319427	121
4582	7.06432141621621	122
10797	7.05904561322568	123
5618	7.04374036610474	124
84679	7.03867320027546	125
79956	7.02996485972784	126
5832	7.02845391130472	127
4070	7.01285061959686	128
57106	7.00032203360303	129
79191	6.97238308995509	130
5819	6.93419166471405	131
6713	6.9315175434882	132
2177	6.93073573926425	133
64787	6.92476693438595	134
50717	6.91627943528979	135
338692	6.91456721613535	136
3978	6.9084877509449	137
54897	6.8998632333154	138
347735	6.89569759213877	139
6768	6.88964169601131	140
27332	6.88621736844163	141
91862	6.87585690417345	142
5603	6.87091149850754	143
7162	6.84719356707321	144
991	6.84686906784479	145
891	6.84597155916069	146
6229	6.84398695845231	147
6692	6.84028129448454	148
9727	6.83166559426425	149
80345	6.83149916707425	150
27134	6.82922231780939	151
440335	6.81927279695654	152
6337	6.81141687431919	153
3149	6.7519677165085	154
4171	6.74807399539865	155
4602	6.74597385702124	156
92595	6.74587789196556	157
84612	6.74265781438264	158
100287171	6.74155295558412	159
27068	6.73543095198182	160
55930	6.71562392480902	161
101927204	6.68610289162523	162
57530	6.67921800364926	163
5296	6.67392481975506	164
51430	6.66397900547956	165
2582	6.65640812036432	166
84910	6.65552910708642	167
51804	6.64191467568092	168
1999	6.6397693847159	169
1301	6.62826034404604	170
11130	6.62769167151414	171
55738	6.61289375682845	172
79669	6.60758290059052	173
124220	6.59804899474987	174
10443	6.57812074628763	175
3169	6.55744109240459	176
103	6.5459144620793	177
1311	6.54327494753876	178
146330	6.54211992209537	179
7343	6.54052628147782	180
6652	6.5344682224435	181
79170	6.52215263049035	182
80131	6.51744812001141	183
161291	6.50800768213205	184
57619	6.5059383398992	185
6892	6.50161645861127	186
1534	6.49691285834745	187
